timestamp,event,object,confidence
2026-09-01 20:37:53,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:54,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:55,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:56,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:57,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:58,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:59,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:00,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:01,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:02,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:03,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:04,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:05,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:06,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:07,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:08,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:09,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:10,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:11,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:12,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:13,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:14,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:15,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:16,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:17,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:18,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:19,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:20,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:21,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:22,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:23,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:24,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:25,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:26,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:27,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:28,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:29,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:30,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:31,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:32,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:33,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:34,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:35,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:36,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:37,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:38,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:39,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:40,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:38:41,Restricted Zone Intrusion,Person,1.00
